JLDY037E	JLDY037F	JLDY037G	JLDY037I	JLDY037J	JLDY037K
chr16_61332015_61332415	18	24	13	23	17	13
chr16_61344366_61344766	6	21	10	16	6	9
chr16_61369814_61370214	12	27	14	20	25	8
chr16_61376929_61377329	16	19	7	14	8	18
chr16_61518659_61519059	11	26	13	22	16	24
chr16_61525580_61525980	10	20	14	22	18	12
chr16_61588347_61588747	10	21	6	24	19	13
chr16_61595677_61596077	10	10	13	16	11	15
chr16_61621435_61621835	17	18	11	26	17	11
chr16_61676004_61676404	16	14	12	19	12	12
chr16_61725467_61725867	10	25	12	36	14	21
chr16_62152378_62152778	15	25	19	19	19	13
chr16_62213491_62213891	12	11	16	22	14	21
chr16_62317221_62317621	14	25	11	25	14	11
chr16_62345234_62345634	19	12	11	26	21	24
chr16_62378473_62378873	12	17	17	18	11	12
chr16_62380720_62381120	17	19	9	26	18	12
chr16_62394790_62395190	16	22	19	32	17	15
chr16_62545052_62545452	19	20	15	15	12	14
chr16_62641341_62641741	16	17	6	23	9	27
chr16_62664348_62664748	19	30	10	24	16	14
chr16_62717305_62717705	15	26	22	31	21	38
chr16_62747753_62748153	17	24	15	29	10	24
chr16_62767113_62767513	12	18	12	13	6	12
chr16_62807452_62807852	11	23	8	20	8	11
chr16_63002933_63003333	27	27	20	40	16	21
chr16_63010398_63010798	7	8	11	20	10	15
chr16_63025126_63025526	13	22	13	22	12	8
chr16_63026454_63026854	21	17	7	22	14	11
chr16_63222782_63223182	18	15	11	32	15	11
chr16_63397187_63397587	8	16	7	10	15	17
chr16_63480561_63480961	13	17	13	20	12	23
chr16_63664722_63665122	13	19	13	13	16	3
chr16_63828466_63828866	21	23	9	23	10	11
chr16_63863828_63864228	17	16	4	25	11	6
chr16_63880215_63880615	17	22	10	24	3	15
chr16_63968649_63969049	13	29	15	22	20	18
chr16_64043878_64044278	14	14	15	20	12	10
chr16_64240824_64241224	7	16	15	14	13	12
chr16_64302286_64302686	17	14	10	23	13	11
chr16_64367262_64367662	9	28	8	16	6	10
chr16_64496797_64497197	21	28	14	21	15	18
chr16_64537903_64538303	14	18	12	18	16	12
chr16_64546421_64546821	13	22	6	18	9	11
chr16_64707000_64707400	15	16	8	20	16	14
chr16_64733634_64734034	14	29	18	26	14	15
chr16_64908806_64909206	15	24	9	17	8	17
chr16_64918375_64918775	21	25	19	30	16	20
chr16_64947986_64948386	9	19	11	19	13	4
chr16_65031622_65032022	7	12	7	15	13	8
chr16_65032557_65032957	12	18	8	23	7	13
chr16_65084341_65084741	10	15	13	20	12	17
chr16_65093021_65093421	15	16	16	30	14	17
chr16_65473494_65473894	20	18	11	25	11	12
chr16_65572137_65572537	23	28	20	30	22	21
chr16_65689484_65689884	17	11	15	25	11	12
chr16_65784682_65785082	15	19	9	20	11	7
chr16_65793664_65794064	17	20	20	16	14	18
chr16_65808013_65808413	14	31	15	22	11	18
chr16_65839236_65839636	12	23	20	26	9	19
chr16_65927501_65927901	8	15	10	20	12	11
chr16_66050999_66051399	21	25	15	21	12	8
chr16_66113738_66114138	13	22	14	20	10	20
chr16_66140054_66140454	17	23	15	25	13	20
chr16_66153337_66153737	19	21	13	28	13	18
chr16_66161991_66162391	18	29	15	24	9	15
chr16_66311714_66312114	17	23	22	24	15	14
chr16_66432266_66432666	15	16	16	28	12	30
chr16_66575070_66575470	4	12	10	21	12	13
chr16_66892424_66892824	13	13	9	22	4	15
chr16_67990011_67990411	18	23	21	22	11	15
chr16_68017739_68018139	22	26	11	26	9	16
chr16_68100255_68100655	15	30	9	25	22	20
chr16_68121406_68121806	13	20	9	20	15	20
chr16_68451236_68451636	20	27	13	26	13	18
chr16_68511226_68511626	23	36	16	22	13	28
chr16_68529419_68529819	25	14	14	24	17	10
chr16_68547742_68548142	15	27	6	31	23	23
chr16_68626497_68626897	21	20	15	30	20	21
chr16_68787016_68787416	15	23	10	20	12	11
chr16_68893077_68893477	19	23	23	24	14	19
chr16_68915723_68916123	14	28	21	40	16	19
chr16_68928261_68928661	19	28	9	28	11	11
chr16_68962749_68963149	6	20	7	17	5	3
chr16_69054891_69055291	15	19	8	23	9	13
chr16_69142166_69142566	23	28	12	13	17	20
chr16_69159424_69159824	13	18	13	21	13	18
chr16_69163208_69163608	19	19	12	24	16	14
chr16_69296118_69296518	20	26	8	24	20	16
chr16_69335009_69335409	13	18	10	19	15	20
chr16_69414418_69414818	17	13	14	27	15	19
chr16_69429742_69430142	14	23	10	22	13	14
chr16_69705956_69706356	12	18	8	25	12	12
chr16_69854965_69855365	13	22	15	30	17	17
chr16_69863615_69864015	22	20	15	27	7	17
chr16_69864987_69865387	9	16	22	21	8	9
chr16_69868697_69869097	11	16	7	25	12	19
chr16_69900929_69901329	8	24	17	24	24	12
chr16_69962263_69962663	10	17	15	24	17	16
chr16_69965185_69965585	7	18	4	15	4	5
chr16_69966656_69967056	18	13	13	25	12	9
chr16_70021451_70021851	11	28	12	21	23	13
chr16_70068261_70068661	8	17	7	18	15	4
chr16_70182041_70182441	16	10	13	27	6	13
chr16_70275029_70275429	18	27	10	23	9	11
chr16_70382077_70382477	13	20	10	22	10	13
chr16_70479864_70480264	18	24	8	24	10	10
chr16_70519777_70520177	18	22	16	13	12	19
chr16_70564196_70564596	11	11	15	23	15	19
chr16_70782067_70782467	15	22	7	17	20	11
chr16_70783873_70784273	12	17	8	22	9	6
chr16_70825870_70826270	18	18	13	22	14	13
chr16_70953521_70953921	14	23	6	23	14	6
chr16_70984640_70985040	15	8	11	24	20	13
chr16_71249968_71250368	29	32	16	41	16	21
chr16_71470067_71470467	14	29	13	31	17	24
chr16_71493893_71494293	20	27	19	27	18	19
chr16_71505479_71505879	14	23	11	24	8	9
chr16_71754308_71754708	10	19	4	25	11	16
chr16_71772255_71772655	14	22	13	31	8	13
chr16_71894857_71895257	20	24	14	30	8	20
chr16_71922854_71923254	20	28	11	37	17	24
chr16_72079524_72079924	12	18	10	21	18	12
chr16_72157987_72158387	15	9	21	18	15	22
chr16_72451576_72451976	12	28	21	31	19	22
chr16_72523379_72523779	21	10	14	25	13	17
chr16_72562428_72562828	11	20	16	16	13	12
chr16_72563207_72563607	19	20	12	20	11	15
chr16_72700002_72700402	14	16	21	15	11	17
chr16_72769604_72770004	6	23	13	19	19	8
chr16_72894435_72894835	15	17	10	16	9	15
chr16_72898826_72899226	18	22	10	18	11	14
chr16_72977050_72977450	14	21	14	26	15	19
chr16_73004531_73004931	5	25	11	19	11	11
chr16_73024091_73024491	21	22	23	32	21	19
chr16_73035620_73036020	13	19	13	18	9	17
chr16_73156676_73157076	16	21	19	29	17	13
chr16_73167365_73167765	16	19	15	21	6	16
chr16_73221978_73222378	13	19	23	22	13	19
chr16_73233307_73233707	16	32	22	23	17	25
chr16_73285817_73286217	16	13	10	30	17	16
chr16_73354400_73354800	13	15	20	25	16	21
chr16_73368432_73368832	9	30	17	18	16	12
chr16_73431591_73431991	15	21	14	21	14	20
chr16_74215820_74216220	23	14	12	15	15	10
chr16_74608195_74608595	11	13	9	19	8	13
chr16_75305349_75305749	11	15	14	25	12	16
chr16_75600419_75600819	13	18	10	27	12	22
chr16_75640264_75640664	16	18	13	28	12	19
chr16_75691644_75692044	17	24	8	15	19	15
chr16_75715575_75715975	5	25	13	24	12	16
chr16_75798794_75799194	13	20	16	29	16	24
chr16_75865523_75865923	17	18	8	22	17	9
chr16_76029897_76030297	14	21	7	22	13	26
chr16_76085412_76085812	26	28	12	37	14	20
chr16_76122984_76123384	3	21	6	14	5	6
chr16_76131756_76132156	20	32	11	29	19	19
chr16_76164020_76164420	11	20	17	25	9	15
chr16_76293051_76293451	12	17	13	21	6	11
chr16_76294439_76294839	12	34	7	24	10	10
chr16_76365293_76365693	9	14	6	15	9	21
chr16_76403359_76403759	12	21	17	40	11	17
chr16_76407159_76407559	9	28	14	20	13	12
chr16_76453555_76453955	13	21	21	22	13	10
chr16_76455047_76455447	23	17	15	26	8	18
chr16_76532135_76532535	18	25	16	18	9	8
chr16_76561000_76561400	15	25	12	25	17	12
chr16_76658732_76659132	14	20	9	26	6	6
chr16_76735601_76736001	20	22	13	15	8	17
chr16_76816336_76816736	19	20	14	23	17	16
chr16_76821530_76821930	12	11	15	23	12	8
chr16_76863950_76864350	22	28	11	16	18	23
chr16_76896351_76896751	12	15	14	19	17	10
chr16_76898157_76898557	17	26	13	19	12	24
chr16_76920179_76920579	17	26	10	25	19	16
chr16_77019997_77020397	18	13	17	14	11	11
chr16_77028758_77029158	13	25	16	21	12	16
chr16_77060210_77060610	10	23	10	20	12	6
chr16_77115308_77115708	14	22	5	18	17	10
chr16_77230376_77230776	18	24	9	25	18	13
chr16_77329214_77329614	17	23	14	22	19	12
chr16_77466153_77466553	11	12	8	17	10	16
chr16_77719465_77719865	19	20	19	14	17	9
chr16_77834665_77835065	13	19	5	24	9	14
chr16_77857231_77857631	15	21	9	34	6	14
chr16_77877758_77878158	17	16	17	21	12	18
chr16_77890688_77891088	12	28	12	29	14	17
chr16_77907260_77907660	5	21	13	18	8	15
chr16_78029867_78030267	13	25	12	25	12	11
chr16_78117777_78118177	12	12	10	22	11	12
chr16_78187252_78187652	8	23	11	19	11	10
chr16_78193268_78193668	11	14	11	17	14	1
chr16_78240833_78241233	20	44	18	27	16	15
chr16_78280416_78280816	16	21	15	20	18	19
chr16_78296139_78296539	18	22	10	16	12	20
chr16_78396811_78397211	21	10	11	19	13	14
chr16_78399473_78399873	9	24	11	17	7	12
chr16_78436676_78437076	15	21	7	14	4	8
chr16_78439495_78439895	8	16	8	25	9	11
chr16_78454886_78455286	9	24	21	24	10	20
chr16_78459707_78460107	19	22	19	22	13	19
chr16_78473477_78473877	11	16	10	16	10	7
chr16_78483235_78483635	9	27	17	25	10	20
chr16_78488987_78489387	11	18	17	15	13	3
chr16_78502738_78503138	10	15	10	27	19	15
chr16_78530008_78530408	10	23	6	14	11	12
chr16_78548914_78549314	13	21	15	27	22	21
chr16_78573538_78573938	13	15	15	10	4	15
chr16_78602971_78603371	8	12	12	24	9	11
chr16_78617892_78618292	8	22	17	14	18	13
chr16_78633897_78634297	16	26	12	30	17	14
chr16_78639392_78639792	14	10	4	17	13	15
chr16_78652776_78653176	18	21	12	18	15	14
chr16_78671781_78672181	12	7	20	16	14	16
chr16_78849100_78849500	18	15	9	20	12	14
chr16_78884701_78885101	18	23	10	21	15	18
chr16_78889083_78889483	17	20	15	20	11	11
chr16_78931113_78931513	13	18	6	22	15	13
chr16_79121332_79121732	16	20	21	26	15	19
chr16_79195456_79195856	15	23	10	22	8	18
chr16_79220949_79221349	13	17	5	14	13	17
chr16_79223978_79224378	8	14	6	22	13	21
chr16_79389415_79389815	11	15	7	21	8	13
chr16_79451502_79451902	13	16	5	20	15	5
chr16_79497763_79498163	16	24	4	21	16	12
chr16_79582510_79582910	16	19	17	21	7	15
chr16_79852591_79852991	13	16	7	20	22	9
chr16_79855169_79855569	17	24	19	27	13	21
chr16_79939218_79939618	16	23	19	17	11	13
chr16_80000980_80001380	12	17	8	22	12	17
chr16_80111583_80111983	19	23	12	20	17	19
chr16_80138524_80138924	24	25	13	32	19	21
chr16_80194938_80195338	6	17	13	20	21	11
chr16_80268081_80268481	11	17	15	16	8	18
chr16_80614878_80615278	21	20	12	19	19	13
chr16_80757534_80757934	18	27	11	30	16	22
chr16_80897342_80897742	13	15	3	10	7	13
chr16_81015682_81016082	18	26	8	20	12	17
chr16_81019374_81019774	9	26	17	29	22	22
chr16_81025434_81025834	11	17	18	23	10	15
chr16_81036184_81036584	13	21	8	17	12	13
chr16_81120289_81120689	13	19	9	12	14	15
chr16_81664662_81665062	9	12	8	23	13	15
chr16_81704828_81705228	25	29	15	27	23	25
chr16_82047940_82048340	10	18	11	28	14	15
chr16_82570821_82571221	5	11	5	24	16	3
chr16_82605342_82605742	12	20	10	17	10	7
chr16_82645584_82645984	11	20	18	24	12	11
chr16_82692231_82692631	13	17	11	26	5	18
chr16_82727241_82727641	16	27	18	24	11	19
chr16_82896861_82897261	10	18	13	22	16	7
chr16_83070117_83070517	15	18	15	16	11	12
chr16_83171688_83172088	8	19	3	26	9	14
chr16_83175202_83175602	12	16	9	25	13	10
chr16_83234523_83234923	16	23	16	21	16	7
chr16_83403606_83404006	8	18	13	15	6	10
chr16_83549281_83549681	8	21	10	26	19	15
chr16_83667784_83668184	10	13	8	25	7	14
chr16_83804054_83804454	29	22	19	20	19	15
chr16_83982227_83982627	24	33	15	34	23	25
chr16_84076304_84076704	11	21	15	31	11	14
chr16_84200095_84200495	11	21	6	20	6	10
chr16_84247460_84247860	18	36	10	26	19	16
chr16_84430419_84430819	7	19	9	17	17	15
chr16_84513195_84513595	20	31	24	25	11	15
chr16_84546271_84546671	11	27	10	15	13	10
chr16_84550227_84550627	9	16	8	22	13	13
chr16_84581193_84581593	14	38	18	23	16	9
chr16_84594916_84595316	9	22	4	17	11	14
chr16_84647362_84647762	12	11	12	19	12	20
chr16_84666277_84666677	11	22	10	17	7	10
chr16_84696333_84696733	19	35	20	25	23	18
chr16_84702693_84703093	13	17	8	23	22	15
chr16_84715639_84716039	10	17	8	19	6	11
chr16_84723244_84723644	19	21	14	25	11	13
chr16_84724281_84724681	12	12	8	21	13	18
chr16_84746131_84746531	12	17	12	19	15	15
chr16_84754994_84755394	16	22	16	11	12	12
chr16_84774196_84774596	13	21	7	25	11	8
chr16_84848990_84849390	20	24	12	17	15	19
chr16_84973303_84973703	17	19	8	18	5	10
chr16_84978335_84978735	11	20	15	9	11	13
chr16_85079916_85080316	13	23	12	28	19	14
chr16_85328118_85328518	14	21	6	22	17	15
chr16_85457409_85457809	5	9	10	22	11	13
chr16_85472953_85473353	12	21	12	28	11	13
chr16_85474773_85475173	19	20	16	22	8	15
chr16_85549996_85550396	22	26	25	33	20	17
chr16_85553080_85553480	21	24	10	28	16	14
chr16_85640286_85640686	20	24	18	17	18	10
chr16_85644597_85644997	20	36	13	30	19	14
chr16_85651011_85651411	15	25	11	24	13	16
chr16_85680448_85680848	22	16	8	20	11	17
chr16_85803023_85803423	13	15	17	25	11	12
chr16_85809666_85810066	20	33	10	23	16	23
chr16_85862520_85862920	13	20	5	19	19	10
chr16_85869903_85870303	12	15	13	18	13	15
chr16_85899417_85899817	10	19	11	28	11	6
chr16_85900997_85901397	13	12	9	21	12	19
chr16_85923384_85923784	16	23	9	26	17	17
chr16_85998633_85999033	23	25	9	27	14	29
chr16_86198246_86198646	12	22	17	22	12	15
chr16_86235945_86236345	13	17	6	27	13	18
chr16_86421500_86421900	12	23	11	21	3	11
chr16_86524052_86524452	19	25	21	32	11	27
chr16_86530033_86530433	18	23	18	24	11	12
chr16_86725370_86725770	18	29	18	34	17	29
chr16_86756140_86756540	16	26	16	17	17	13
chr16_86846491_86846891	10	20	10	23	9	10
chr16_86868945_86869345	21	22	10	16	12	12
chr16_87060702_87061102	21	23	17	32	20	20
chr16_87140027_87140427	18	34	19	28	16	18
chr16_87235530_87235930	7	17	16	28	9	9
chr16_87329122_87329522	11	32	19	17	18	12
chr16_87364986_87365386	19	18	6	28	15	20
chr16_87369401_87369801	15	20	11	14	18	15
chr16_87394891_87395291	15	21	26	19	17	13
chr16_87423792_87424192	16	21	4	25	17	14
chr16_87435938_87436338	17	19	19	29	18	17
chr16_87453358_87453758	10	18	9	20	10	15
chr16_87512491_87512891	8	20	9	23	17	17
chr16_87516539_87516939	8	18	11	15	10	20
chr16_87553364_87553764	15	28	21	20	16	18
chr16_87575888_87576288	18	24	13	20	21	17
chr16_87580761_87581161	23	30	16	25	20	13
chr16_87587467_87587867	9	21	15	20	9	10
chr16_87602664_87603064	14	17	12	28	13	21
chr16_87610784_87611184	25	26	17	27	20	16
chr16_87617181_87617581	24	31	27	30	25	18
chr16_87629310_87629710	19	26	17	24	16	16
chr16_87630333_87630733	8	26	15	24	10	13
chr16_87634623_87635023	20	22	10	24	16	22
chr16_87637518_87637918	10	13	16	23	12	14
chr16_87647517_87647917	9	24	18	18	17	14
chr16_87662716_87663116	14	18	13	26	13	18
chr16_87665695_87666095	14	30	16	25	9	19
chr16_87670983_87671383	19	28	18	26	18	17
chr16_87677956_87678356	13	21	6	24	5	11
chr16_87696411_87696811	13	27	14	26	10	16
chr16_87719333_87719733	23	41	13	34	23	31
chr16_87729486_87729886	22	32	15	36	17	20
chr16_87736068_87736468	11	30	15	24	14	19
chr16_87751170_87751570	24	25	14	19	12	11
chr16_87753383_87753783	23	32	17	31	24	18
chr16_87760555_87760955	17	33	16	31	22	16
chr16_87764562_87764962	15	15	10	22	12	17
chr16_87800018_87800418	8	13	17	13	6	18
chr16_87815692_87816092	12	23	13	26	10	9
chr16_87842332_87842732	24	30	25	28	11	20
chr16_87848461_87848861	10	22	8	13	19	4
chr16_88056581_88056981	9	22	8	24	14	8
chr16_88062333_88062733	11	26	18	24	12	11
chr16_88266226_88266626	15	15	12	20	19	20
chr16_88289419_88289819	18	25	10	23	16	21
chr16_88342251_88342651	13	16	5	19	17	6
chr16_88362840_88363240	20	32	16	35	13	16
chr16_88410255_88410655	8	15	18	28	19	12
chr16_88506343_88506743	17	22	22	28	20	15
chr16_88562575_88562975	20	25	20	28	24	24
chr16_88579820_88580220	9	19	17	16	24	14
chr16_88590305_88590705	9	17	7	20	10	13
chr16_88627015_88627415	21	25	12	24	13	20
chr16_88647394_88647794	27	29	13	42	20	20
chr16_88664400_88664800	17	18	9	16	15	24
chr16_88682159_88682559	13	27	10	32	25	13
chr16_88707520_88707920	14	25	22	23	9	18
chr16_88714693_88715093	24	32	14	37	27	26
chr16_88728878_88729278	8	18	12	22	17	14
chr16_88759003_88759403	26	41	12	35	16	20
chr16_88762525_88762925	18	24	16	29	18	14
chr16_88766446_88766846	17	23	11	16	11	7
chr16_88773788_88774188	12	33	16	27	14	20
chr16_88777960_88778360	15	28	10	28	16	15
chr16_88786778_88787178	14	23	13	23	15	4
chr16_88820065_88820465	11	22	14	22	15	17
chr16_88825701_88826101	19	22	12	23	11	8
chr16_88846006_88846406	19	23	12	20	12	15
chr16_88873785_88874185	9	16	10	15	14	6
chr16_88877635_88878035	11	25	16	23	12	23
chr16_88884767_88885167	8	20	14	17	13	8
chr16_88894898_88895298	18	25	11	16	10	13
chr16_88954193_88954593	18	18	14	23	8	16
chr16_88968606_88969006	20	32	21	27	15	19
chr16_89113743_89114143	24	26	17	18	14	14
chr16_89396550_89396950	17	19	13	20	15	14
chr16_89413246_89413646	11	17	11	24	12	21
chr16_89419768_89420168	9	21	7	19	13	7
chr16_89454350_89454750	22	24	7	22	8	15
chr16_89477691_89478091	9	28	14	35	21	16
chr16_89495128_89495528	18	21	17	31	21	10
chr16_89512772_89513172	13	21	19	30	13	11
chr16_89514776_89515176	16	18	12	26	21	17
chr16_89542948_89543348	22	32	23	24	16	22
chr16_89555908_89556308	11	16	11	20	13	21
chr16_89571365_89571765	12	12	5	12	15	17
chr16_89575978_89576378	15	25	12	18	12	16
chr16_89585769_89586169	11	25	15	30	14	13
chr16_89608383_89608783	17	27	15	29	12	14
chr16_89613719_89614119	16	18	28	24	14	25
chr16_89618230_89618630	11	17	5	21	14	11
chr16_89646622_89647022	9	16	12	18	16	12
chr16_89651669_89652069	17	24	10	20	17	19
chr16_89662518_89662918	13	14	11	24	15	11
chr16_89670193_89670593	18	31	20	30	23	25
chr16_89690234_89690634	15	16	19	23	12	12
chr16_89694538_89694938	19	28	19	20	11	11
chr16_89724846_89725246	12	15	7	18	9	11
chr16_89729670_89730070	13	19	8	19	10	18
chr16_89737468_89737868	19	25	9	21	21	22
chr16_89739624_89740024	18	28	10	24	10	18
chr16_89771382_89771782	17	28	6	27	17	13
chr16_89772831_89773231	12	31	10	19	14	15
chr16_89885006_89885406	22	20	20	20	21	27
chr16_89918677_89919077	19	26	15	29	18	25
chr16_89927253_89927653	25	33	16	34	24	26
chr16_89949905_89950305	18	17	15	27	8	18
chr16_89993901_89994301	12	29	12	26	9	16
chr16_90003367_90003767	18	20	12	34	14	22
chr16_90011449_90011849	22	17	21	27	30	17
chr16_90054214_90054614	22	26	15	20	12	10
chr16_90079586_90079986	18	33	14	27	14	25
chr16_90138052_90138452	14	24	20	32	18	23
chr16_90163243_90163643	23	27	14	28	22	14
chr16_90172811_90173211	19	28	14	26	9	20
chr16_90196406_90196806	18	21	14	29	18	22
chr16_90199141_90199541	15	36	12	31	19	20
chr16_90208827_90209227	18	27	24	29	19	17
chr16_90210725_90211125	11	28	18	27	17	18
chr16_90229823_90230223	18	16	14	22	22	12
chr16_90290338_90290738	16	23	9	25	12	15
chr16_90314580_90314980	10	23	14	28	11	16
chr16_90319500_90319900	10	31	20	22	18	18
chr16_90430215_90430615	30	21	8	32	20	18
chr16_90472202_90472602	19	13	17	22	18	25
chr16_90475258_90475658	17	30	23	13	13	12
chr16_90524169_90524569	13	30	10	26	15	14
chr16_90542285_90542685	8	26	17	39	15	10
chr16_90549787_90550187	14	23	18	28	5	19
chr16_90558619_90559019	10	21	9	19	14	10
chr16_90579729_90580129	7	21	20	27	17	20
chr16_90625420_90625820	8	16	4	27	13	21
chr16_90629307_90629707	16	24	8	26	12	15
chr16_90692996_90693396	16	22	14	22	15	18
chr16_90721852_90722252	20	34	11	29	13	30
chr16_90848890_90849290	27	23	16	39	18	15
chr16_90917049_90917449	22	25	20	34	26	9
chr16_90944485_90944885	10	20	16	26	14	14
chr16_90963911_90964311	19	14	6	25	16	6
chr16_91048652_91049052	17	26	23	21	20	32
chr16_91058077_91058477	16	27	21	22	23	18
chr16_91065133_91065533	33	26	13	37	26	26
chr16_91079609_91080009	17	18	6	20	22	19
chr16_91084843_91085243	24	24	22	29	11	17
chr16_91116240_91116640	17	21	13	29	23	17
chr16_91142578_91142978	20	14	22	22	16	21
chr16_91156611_91157011	31	28	15	22	16	21
chr16_91182978_91183378	29	29	16	26	22	15
chr16_91190923_91191323	22	44	28	32	20	30
chr16_91202874_91203274	20	28	20	28	23	18
chr16_91211714_91212114	14	34	15	39	17	16
chr16_91237378_91237778	27	23	24	19	20	17
chr16_91257241_91257641	6	19	17	10	15	14
chr16_91262510_91262910	19	28	15	32	16	25
chr16_91277599_91277999	20	36	15	28	23	28
chr16_91279582_91279982	23	35	22	26	28	25
chr16_91299388_91299788	13	38	29	35	17	30
chr16_91303703_91304103	24	14	13	31	16	24
chr16_91310574_91310974	18	20	8	25	20	17
chr16_91327485_91327885	15	34	21	35	17	15
chr16_91328879_91329279	23	30	23	38	24	31
chr16_91337209_91337609	18	18	19	22	19	28
chr16_91393131_91393531	10	18	7	18	11	11
chr16_91403808_91404208	23	22	12	20	19	15
chr16_91432798_91433198	16	19	11	16	9	10
chr16_91448727_91449127	17	20	12	31	11	31
chr16_91457301_91457701	18	23	19	27	14	17
chr16_91473500_91473900	11	22	14	18	8	10
chr16_91474903_91475303	9	14	10	20	7	7
chr16_91496091_91496491	14	25	14	16	13	15
chr16_91506759_91507159	14	22	22	26	10	12
chr16_91513698_91514098	17	34	17	38	24	21
chr16_91520396_91520796	19	26	18	29	20	17
chr16_91528759_91529159	24	22	25	28	18	15
chr16_91552378_91552778	16	14	12	21	16	18
chr16_91574869_91575269	11	31	14	23	18	26
chr16_91581229_91581629	25	16	16	28	16	24
chr16_91587806_91588206	9	22	13	36	23	25
chr16_91612694_91613094	22	17	13	32	8	22
chr16_91655641_91656041	20	29	10	29	22	22
chr16_91701787_91702187	25	21	10	21	10	17
chr16_91740756_91741156	15	15	14	23	15	18
chr16_91760516_91760916	16	11	8	22	13	11
chr16_91816327_91816727	15	32	8	19	13	15
chr16_91899131_91899531	11	20	11	33	11	19
chr16_91924160_91924560	10	27	10	29	18	22
chr16_91940712_91941112	17	30	11	22	17	22
chr16_91955244_91955644	16	23	19	28	10	9
chr16_91964394_91964794	9	18	8	10	10	13
chr16_91970716_91971116	13	26	16	32	15	15
chr16_91984596_91984996	24	34	15	26	15	24
chr16_92001344_92001744	17	21	15	22	20	19
chr16_92020640_92021040	12	30	13	36	17	14
chr16_92022528_92022928	14	15	22	36	13	7
chr16_92028022_92028422	17	37	10	24	11	16
chr16_92052263_92052663	17	20	18	17	13	19
chr16_92061401_92061801	9	30	20	20	16	13
chr16_92065922_92066322	22	24	11	21	11	14
chr16_92127139_92127539	13	21	15	31	11	25
chr16_92141542_92141942	15	25	13	19	14	25
chr16_92150277_92150677	17	28	14	39	17	18
chr16_92164336_92164736	25	24	16	22	15	16
chr16_92200920_92201320	24	25	12	21	11	18
chr16_92218267_92218667	14	18	15	22	16	18
chr16_92229027_92229427	13	26	12	27	8	16
chr16_92269566_92269966	14	12	15	31	13	22
chr16_92274199_92274599	15	31	25	24	21	7
chr16_92283203_92283603	13	29	12	24	17	11
chr16_92284686_92285086	20	22	15	25	20	30
chr16_92293927_92294327	12	28	16	27	12	17
chr16_92355864_92356264	19	24	10	47	15	25
chr16_92386006_92386406	20	38	16	31	13	21
chr16_92411466_92411866	8	33	12	29	12	15
chr16_92468759_92469159	16	20	7	24	15	18
chr16_92485854_92486254	19	26	14	35	16	13
chr16_92500778_92501178	27	29	15	32	20	25
chr16_92516029_92516429	24	32	19	39	15	16
chr16_92527116_92527516	30	28	21	21	18	28
chr16_92546105_92546505	22	41	15	43	23	26
chr16_92572274_92572674	11	22	14	31	14	25
chr16_92599856_92600256	20	26	15	25	24	17
chr16_92620859_92621259	27	41	28	51	26	28
chr16_92621972_92622372	32	22	18	29	19	28
chr16_92644361_92644761	18	31	32	33	26	27
chr16_92661533_92661933	21	27	13	30	18	14
chr16_92667367_92667767	27	26	18	33	28	19
chr16_92679902_92680302	22	34	23	32	18	23
chr16_92697775_92698175	15	12	12	20	14	13
chr16_92728656_92729056	19	26	18	18	14	17
chr16_92755025_92755425	21	22	9	27	13	13
chr16_92783358_92783758	17	37	20	33	15	19
chr16_92794098_92794498	10	23	16	20	7	20
chr16_92801512_92801912	12	24	15	33	30	18
chr16_92809020_92809420	29	32	14	35	21	19
chr16_92827997_92828397	20	33	22	37	20	25
chr16_92836418_92836818	23	28	19	32	21	21
chr16_92845275_92845675	20	31	8	31	15	18
chr16_92852139_92852539	12	21	8	25	11	9
chr16_92872110_92872510	17	24	21	26	14	11
chr16_92883806_92884206	22	22	13	30	19	20
chr16_92916390_92916790	16	19	11	18	11	15
chr16_92933630_92934030	12	19	8	19	11	19
chr16_92946791_92947191	19	28	8	21	10	8
chr16_92948519_92948919	19	28	18	25	20	15
chr16_92967484_92967884	9	20	15	18	11	15
chr16_92985750_92986150	20	25	11	19	19	11
chr16_93006496_93006896	16	31	14	24	26	16
chr16_93010889_93011289	20	19	17	34	14	11
chr16_93018902_93019302	24	35	20	27	22	10
chr16_93042718_93043118	9	22	15	23	14	13
chr16_93048588_93048988	13	9	15	22	9	9
chr16_93051381_93051781	8	12	8	20	12	15
chr16_93057961_93058361	16	22	8	13	14	18
chr16_93061224_93061624	17	16	8	22	12	14
chr16_93097226_93097626	16	25	9	32	17	12
chr16_93098607_93099007	25	23	13	26	17	28
chr16_93112273_93112673	18	22	13	22	16	18
chr16_93125118_93125518	34	33	15	26	15	11
chr16_93135944_93136344	7	20	17	25	13	16
chr16_93148292_93148692	12	23	20	29	21	18
chr16_93171892_93172292	24	19	23	30	24	26
chr16_93205849_93206249	20	26	12	15	10	14
chr16_93206731_93207131	15	25	7	26	12	18
chr16_93215116_93215516	20	27	21	23	16	12
chr16_93223601_93224001	18	22	16	27	12	18
chr16_93238373_93238773	8	27	17	28	12	16
chr16_93257185_93257585	24	23	15	33	23	22
chr16_93264933_93265333	14	40	19	30	13	23
chr16_93273717_93274117	15	22	10	31	15	20
chr16_93292872_93293272	12	13	22	19	16	14
chr16_93299746_93300146	17	22	13	19	8	14
chr16_93312800_93313200	29	42	22	35	23	22
